date,region,warehouse_id,warehouse_location,service,instance_type,storage_type,pricing_model,usage_quantity,usage_unit,total_cost,discount_%,environment,application,operation_type,order_count,shipment_volume,total_cost_(derived),effective_cost_(derived),month,cost_per_unit,cloud_provider
2024-01-02,ap-south-1,wh-1711,"frankfurt, de",data transfer,standard_d4s_v5,ssd,spot,1697.7,tb,0.2181,34.4,production,financeops,forecasting,473,23241.5,370.27,242.9,2024-01,0.0001284679271956176,AWS
2024-01-02,ap-south-1,wh-0799,"singapore, sg",analytics,f2s_v2,cold,on-demand,2370301.0,requests,0.641,12.98,staging,procurementhub,dataingest,13393,62486.88,1519362.94,1322149.63,2024-01,2.704297892968024e-07,GCP
2024-01-02,us-east-1,wh-0766,"sao paulo, br",database,m5.large,object,spot,214.63,hours,0.4674,6.21,production,demandforecast,routeoptimization,2861,48448.92,100.32,94.09,2024-01,0.002177701160136048,AWS
2024-01-02,ap-southeast-1,wh-1453,"mumbai, in",analytics,f2s_v2,object,spot,1770381.0,requests,0.2568,15.06,staging,shipmenttracker,routeoptimization,6805,57161.31,454633.84,386165.98,2024-01,1.4505352237738654e-07,GCP
2024-01-02,ap-southeast-1,wh-1612,"rotterdam, nl",kubernetes,n2-standard-4,archive,preemptible,1253770.0,requests,0.9907,22.78,uat,procurementhub,inventorysync,3205,51453.58,1242109.94,959157.3,2024-01,7.901768266907008e-07,AWS
2024-01-02,eu-west-1,wh-1791,"frankfurt, de",data transfer,f2s_v2,hdd,on-demand,5404.65,tb,0.1622,39.16,development,demandforecast,backup,5342,57960.33,876.63,533.34,2024-01,3.00111940643705e-05,GCP
2024-01-02,ap-south-1,wh-1475,"mumbai, in",kubernetes,n2-standard-4,cold,reserved,960.86,hours,0.4851,5.9,qa,ordermgmt,dataingest,11069,38034.45,466.11,438.61,2024-01,0.000504860229377849,AWS
2024-01-02,sa-east-1,wh-1199,"frankfurt, de",database,r6g.large,hdd,spot,9322.19,gb-month,0.9695,25.59,development,procurementhub,inventorysync,7125,19745.23,9037.86,6725.07,2024-01,0.00010399916757757565,AWS
2024-01-02,sa-east-1,wh-2022,"dallas, usa",compute,n2-standard-4,archive,preemptible,15116.37,gb-month,2.0221,39.03,staging,financeops,orderprocessing,8541,53990.65,30566.81,18636.58,2024-01,0.0001337688876363836,AWS
2024-01-02,ap-south-1,wh-0659,"chennai, in",analytics,m5.large,block,reserved,101282.77,gb,1.4995,17.62,staging,warehousesync,orderprocessing,6994,6711.77,151873.51,125113.4,2024-01,1.4805084813537386e-05,GCP
2024-01-02,us-east-1,wh-2042,"dublin, ie",storage,c5.xlarge,ssd,reserved,146103.62,gb,0.2321,15.4,uat,vendorportal,orderprocessing,13422,68338.59,33910.65,28688.41,2024-01,1.5885985576538077e-06,Azure
2024-01-02,eu-central-1,wh-1331,"singapore, sg",ai/ml,n2-standard-4,hdd,preemptible,18019.44,vcpu-hours,2.3619,33.31,staging,procurementhub,etl,12569,65351.78,42560.12,28383.34,2024-01,0.0001310751055526698,AWS
2024-01-02,ap-south-1,wh-0422,"chennai, in",networking,m5.large,object,spot,297842.0,requests,0.5584,15.86,development,demandforecast,inventorysync,12526,41095.16,166314.97,139937.42,2024-01,1.8748195351897985e-06,AWS
2024-01-02,us-east-1,wh-0726,"frankfurt, de",networking,standard_d4s_v5,ssd,savings plan,164.53,gb-month,0.6833,33.91,qa,warehousesync,etl,3089,39979.6,112.42,74.3,2024-01,0.0041530419984197415,AWS
2024-01-02,us-west-2,wh-0915,"sao paulo, br",networking,m5.large,hdd,preemptible,260.17,hours,1.3962,23.81,development,demandforecast,backup,3172,36162.01,363.25,276.76,2024-01,0.005366491140408195,AWS
2024-01-02,us-west-2,wh-1385,"mumbai, in",kubernetes,f2s_v2,hdd,on-demand,312.66,hours,0.3969,14.98,uat,ordermgmt,orderprocessing,14612,11339.07,124.09,105.5,2024-01,0.0012694300518134713,Azure
2024-01-02,ap-southeast-1,wh-2401,"dublin, ie",networking,n2-standard-4,cold,reserved,57461.93,gb,1.3133,32.55,development,procurementhub,orderprocessing,210,767.89,75464.75,50900.97,2024-01,2.2855132084842955e-05,AWS
2024-01-02,us-east-1,wh-0235,"frankfurt, de",networking,c5.xlarge,block,preemptible,32089.46,gb-month,0.7896,13.88,qa,financeops,orderprocessing,4047,24311.86,25337.84,21820.95,2024-01,2.460621026343229e-05,Azure
2024-01-02,eu-central-1,wh-0137,"phoenix, usa",cdn,t3.medium,cold,spot,35868.31,vcpu-hours,1.0587,23.09,staging,warehousesync,shipmenttracking,6571,40298.52,37973.78,29205.63,2024-01,2.9516305619082694e-05,Azure
2024-01-02,ap-southeast-1,wh-2460,"sao paulo, br",storage,r6g.large,block,savings plan,99732.35,gb,0.2683,12.08,qa,financeops,forecasting,561,67819.46,26758.19,23525.8,2024-01,2.6902003211595834e-06,AWS
2024-01-02,us-west-2,wh-0011,"mumbai, in",kubernetes,standard_d4s_v5,cold,spot,30533.34,vcpu-hours,0.3611,27.47,development,shipmenttracker,routeoptimization,13065,8171.51,11025.59,7996.86,2024-01,1.182641663178676e-05,Azure
2024-01-02,us-west-2,wh-1676,"singapore, sg",database,standard_d4s_v5,archive,spot,4251.85,tb,2.4249,13.08,development,inventoryplanner,dataingest,12414,26815.55,10310.31,8961.72,2024-01,0.0005703164504862589,AWS
2024-01-02,ap-southeast-1,wh-1075,"frankfurt, de",serverless,t3.medium,object,preemptible,4303.75,tb,1.3392,39.19,production,financeops,forecasting,11927,45334.61,5763.58,3504.83,2024-01,0.00031117049085100203,GCP
2024-01-02,eu-central-1,wh-0014,"rotterdam, nl",ai/ml,t3.medium,block,on-demand,74546.14,gb-month,1.2202,35.48,qa,routeoptimizer,dataingest,4077,59802.62,90961.2,58688.17,2024-01,1.636838607605974e-05,GCP
2024-01-02,ap-southeast-1,wh-0894,"dallas, usa",database,t3.medium,hdd,preemptible,35517.18,vcpu-hours,1.3282,36.32,production,financeops,etl,847,42169.56,47173.92,30040.35,2024-01,3.739598695617163e-05,AWS
2024-01-02,us-east-1,wh-2273,"chennai, in",database,t3.medium,object,on-demand,121024.43,gb,2.1562,7.05,production,procurementhub,routeoptimization,11040,32600.61,260952.88,242555.7,2024-01,1.7816237597648675e-05,AWS
2024-01-02,ap-southeast-1,wh-2314,"chennai, in",cdn,m5.large,object,savings plan,98080.85,gb,1.1878,29.65,production,vendorportal,backup,519,52994.22,116500.43,81958.05,2024-01,1.2110417069183229e-05,GCP
2024-01-02,us-east-1,wh-1611,"frankfurt, de",data transfer,standard_d4s_v5,archive,preemptible,27495.88,gb,0.1743,44.34,qa,warehousesync,dataingest,287,67835.7,4792.53,2667.52,2024-01,6.33913153534275e-06,Azure
2024-01-03,us-east-1,wh-1521,"frankfurt, de",storage,n2-standard-4,hdd,savings plan,1350999.0,requests,0.2931,25.25,qa,shipmenttracker,routeoptimization,6354,43788.38,395977.81,295993.41,2024-01,2.169505676910198e-07,Azure
2024-01-03,us-east-1,wh-0122,"singapore, sg",serverless,f2s_v2,cold,spot,763.35,hours,0.3453,35.65,production,financeops,routeoptimization,8573,49737.35,263.58,169.61,2024-01,0.00045234820200432303,Azure
2024-01-03,sa-east-1,wh-0392,"dublin, ie",storage,f2s_v2,ssd,savings plan,1060.38,hours,0.1073,0.5,development,routeoptimizer,inventorysync,5514,65730.63,113.78,113.21,2024-01,0.00010119013938399442,Oracle Cloud
2024-01-03,eu-west-1,wh-1039,"chennai, in",data transfer,standard_d4s_v5,object,on-demand,30343.58,vcpu-hours,0.1213,3.29,development,vendorportal,etl,6773,64831.45,3680.68,3559.59,2024-01,3.997550717482907e-06,AWS
2024-01-03,ap-southeast-1,wh-1470,"dublin, ie",networking,f2s_v2,ssd,reserved,38908.61,gb,0.1249,21.7,uat,financeops,routeoptimization,14070,23832.88,4859.69,3805.14,2024-01,3.2100864050399127e-06,AWS
2024-01-03,us-west-2,wh-0546,"dallas, usa",cdn,m5.large,object,preemptible,949618.0,requests,0.8201,14.67,production,inventoryplanner,inventorysync,9370,57415.22,778781.72,664534.44,2024-01,8.636104201900133e-07,Azure
2024-01-03,eu-central-1,wh-2115,"mumbai, in",kubernetes,standard_d4s_v5,object,savings plan,36.86,hours,1.2436,32.12,uat,warehousesync,dataingest,2839,61092.16,45.84,31.12,2024-01,0.03373846988605535,GCP
2024-01-03,eu-central-1,wh-1124,"rotterdam, nl",storage,r6g.large,cold,savings plan,3894.94,vcpu-hours,0.1605,37.62,staging,inventoryplanner,inventorysync,9852,63821.75,625.14,389.96,2024-01,4.1207309997073123e-05,AWS
2024-01-03,eu-central-1,wh-1608,"frankfurt, de",serverless,t3.medium,hdd,spot,787.24,hours,0.1278,36.44,qa,procurementhub,modeltraining,13491,40863.43,100.61,63.95,2024-01,0.0001623393120268279,GCP
2024-01-03,sa-east-1,wh-0567,"mumbai, in",compute,n2-standard-4,hdd,preemptible,6539.58,tb,1.3657,6.57,qa,warehousesync,inventorysync,14169,37650.36,8931.1,8344.33,2024-01,0.00020883604145831994,AWS
2024-01-03,sa-east-1,wh-2274,"chennai, in",data transfer,n2-standard-4,block,spot,329.44,hours,0.0558,10.31,staging,warehousesync,modeltraining,7274,17300.23,18.38,16.49,2024-01,0.00016937833899951434,Oracle Cloud
2024-01-03,eu-central-1,wh-2039,"sao paulo, br",compute,m5.large,hdd,reserved,18873.32,vcpu-hours,0.7347,13.9,qa,demandforecast,backup,7541,33967.02,13866.23,11938.82,2024-01,3.892796815822547e-05,Azure
2024-01-03,ap-south-1,wh-1419,"rotterdam, nl",cdn,m5.large,cold,spot,299940.0,requests,0.5892,1.83,qa,shipmenttracker,routeoptimization,4767,42790.23,176724.65,173490.59,2024-01,1.964392878575715e-06,AWS
2024-01-03,ap-south-1,wh-2314,"phoenix, usa",compute,r6g.large,object,spot,40158.03,gb-month,1.0097,5.5,uat,shipmenttracker,dataingest,7476,38171.37,40547.56,38317.44,2024-01,2.5143165638354273e-05,GCP
2024-01-03,us-east-1,wh-0779,"frankfurt, de",kubernetes,r6g.large,hdd,spot,6089.26,tb,0.5361,16.37,production,vendorportal,inventorysync,6751,56485.87,3264.45,2730.06,2024-01,8.804025448084004e-05,AWS
2024-01-03,ap-southeast-1,wh-1734,"dublin, ie",database,n2-standard-4,ssd,on-demand,117647.85,gb,1.3487,8.2,qa,vendorportal,modeltraining,2214,39697.11,158671.66,145660.58,2024-01,1.1463872905454711e-05,AWS
2024-01-04,eu-west-1,wh-0116,"dallas, usa",storage,standard_d4s_v5,cold,savings plan,176.33,hours,0.1574,10.0,development,ordermgmt,forecasting,14213,62458.46,27.75,24.98,2024-01,0.0008926444734304996,Azure
2024-01-04,us-east-1,wh-1914,"chennai, in",storage,n2-standard-4,object,savings plan,41245.57,gb-month,0.056,0.06,production,demandforecast,modeltraining,9286,68544.57,2309.75,2308.36,2024-01,1.3577215686436144e-06,AWS
2024-01-04,eu-west-1,wh-1187,"chennai, in",analytics,c5.xlarge,ssd,savings plan,25090.6,vcpu-hours,0.5549,3.45,uat,vendorportal,dataingest,4931,34845.07,13922.77,13442.43,2024-01,2.211585215180187e-05,GCP
2024-01-04,ap-southeast-1,wh-0839,"dallas, usa",analytics,r6g.large,cold,savings plan,3923.75,tb,0.59,37.78,staging,inventoryplanner,orderprocessing,8085,9929.28,2315.01,1440.4,2024-01,0.0001503663587129659,GCP
2024-01-04,us-west-2,wh-1620,"dallas, usa",ai/ml,r6g.large,ssd,spot,63003.54,gb,1.3659,13.72,qa,shipmenttracker,orderprocessing,3073,30335.75,86056.54,74249.58,2024-01,2.1679734186364763e-05,Azure
2024-01-04,us-west-2,wh-0801,"rotterdam, nl",ai/ml,c5.xlarge,block,preemptible,32826.03,vcpu-hours,0.8213,10.18,development,warehousesync,orderprocessing,3572,27586.9,26960.02,24215.49,2024-01,2.5019778511138875e-05,AWS
2024-01-04,ap-south-1,wh-1907,"phoenix, usa",data transfer,n2-standard-4,hdd,on-demand,137992.79,gb,0.0404,40.0,qa,demandforecast,routeoptimization,12134,68897.09,5574.91,3344.95,2024-01,2.927689193036824e-07,AWS
2024-01-04,us-west-2,wh-1303,"singapore, sg",cdn,f2s_v2,hdd,savings plan,68355.47,gb-month,1.4738,31.53,uat,shipmenttracker,shipmenttracking,4722,26833.09,100742.29,68978.25,2024-01,2.1560820224043518e-05,AWS
2024-01-04,us-west-2,wh-1593,"mumbai, in",analytics,r6g.large,object,spot,1060.75,hours,0.1247,7.06,staging,financeops,orderprocessing,14930,27589.03,132.28,122.94,2024-01,0.00011755833136931416,Azure
2024-01-04,ap-southeast-1,wh-0120,"rotterdam, nl",compute,m5.large,object,on-demand,1790256.0,requests,0.5883,29.87,qa,inventoryplanner,inventorysync,9269,43604.66,1053207.6,738614.49,2024-01,3.2861222082205006e-07,GCP
2024-01-04,sa-east-1,wh-0856,"singapore, sg",data transfer,f2s_v2,archive,reserved,5087.26,tb,0.1341,33.84,uat,financeops,shipmenttracking,3852,12207.81,682.2,451.34,2024-01,2.6359965875540074e-05,Oracle Cloud
2024-01-04,eu-west-1,wh-1347,"rotterdam, nl",data transfer,t3.medium,object,reserved,9210.96,gb,0.2098,8.71,uat,warehousesync,orderprocessing,5366,49431.78,1932.46,1764.14,2024-01,2.2777213232931206e-05,AWS
2024-01-04,ap-southeast-1,wh-0987,"rotterdam, nl",compute,c5.xlarge,archive,spot,337.6,hours,1.2188,42.62,staging,vendorportal,shipmenttracking,470,47375.67,411.47,236.1,2024-01,0.0036101895734597157,AWS
2024-01-04,ap-southeast-1,wh-0051,"phoenix, usa",cdn,f2s_v2,ssd,on-demand,13612.87,vcpu-hours,0.4867,34.02,qa,shipmenttracker,orderprocessing,12085,8786.95,6625.38,4371.43,2024-01,3.575293086615828e-05,AWS
2024-01-04,us-west-2,wh-1126,"rotterdam, nl",analytics,m5.large,hdd,reserved,2527930.0,requests,1.1453,12.95,production,routeoptimizer,orderprocessing,12714,7203.94,2895238.23,2520304.88,2024-01,4.530584312065603e-07,Azure
2024-01-04,ap-southeast-1,wh-0547,"sao paulo, br",data transfer,m5.large,archive,on-demand,305.66,hours,0.0476,42.9,uat,procurementhub,etl,6935,66689.69,14.55,8.31,2024-01,0.0001557285873192436,AWS
2024-01-04,eu-west-1,wh-1383,"singapore, sg",analytics,n2-standard-4,object,on-demand,5650.31,tb,0.2249,30.11,development,inventoryplanner,routeoptimization,5426,34239.09,1270.75,888.13,2024-01,3.980312584619251e-05,Azure
2024-01-04,ap-southeast-1,wh-2122,"sao paulo, br",data transfer,c5.xlarge,archive,preemptible,23867.58,vcpu-hours,0.145,5.41,production,routeoptimizer,inventorysync,6170,40553.61,3460.8,3273.57,2024-01,6.075186508225802e-06,AWS
2024-01-04,ap-south-1,wh-0131,"singapore, sg",serverless,f2s_v2,object,on-demand,1256.68,hours,0.2596,16.7,uat,ordermgmt,routeoptimization,13179,44522.64,326.23,271.75,2024-01,0.00020657605754846101,AWS
2024-01-04,us-east-1,wh-1899,"dublin, ie",database,m5.large,hdd,preemptible,386.27,hours,0.7289,34.34,uat,warehousesync,shipmenttracking,1282,53811.15,281.55,184.87,2024-01,0.0018870220312216844,AWS
2024-01-04,eu-west-1,wh-1333,"mumbai, in",serverless,r6g.large,ssd,on-demand,15206.4,vcpu-hours,1.0849,32.41,production,routeoptimizer,inventorysync,11985,51555.72,16497.42,11150.61,2024-01,7.134496001683502e-05,Azure
2024-01-04,eu-central-1,wh-1701,"mumbai, in",data transfer,r6g.large,cold,reserved,2482930.0,requests,0.1898,13.84,development,financeops,backup,4507,26059.27,471260.11,406037.71,2024-01,7.644194560458813e-08,AWS
2024-01-04,eu-central-1,wh-0250,"dallas, usa",cdn,t3.medium,archive,preemptible,6309.05,tb,0.2834,2.29,production,routeoptimizer,inventorysync,14165,59175.28,1787.98,1747.04,2024-01,4.491959962276412e-05,AWS
2024-01-04,ap-south-1,wh-0520,"frankfurt, de",database,c5.xlarge,block,reserved,748130.0,requests,2.2645,3.29,qa,ordermgmt,etl,5087,28534.37,1694140.38,1638403.16,2024-01,3.026880355018513e-06,AWS
2024-01-04,ap-southeast-1,wh-0027,"frankfurt, de",database,f2s_v2,cold,savings plan,957434.0,requests,1.527,6.28,production,financeops,dataingest,11678,31518.13,1462001.72,1370188.01,2024-01,1.5948880027239475e-06,AWS
2024-01-04,us-east-1,wh-1146,"frankfurt, de",networking,f2s_v2,cold,reserved,18190.62,vcpu-hours,1.2672,10.69,uat,shipmenttracker,inventorysync,5382,14525.42,23051.15,20586.98,2024-01,6.966227649195025e-05,Azure
2024-01-05,eu-central-1,wh-1252,"frankfurt, de",analytics,n2-standard-4,object,preemptible,994.69,vcpu-hours,0.0536,4.91,qa,financeops,orderprocessing,11226,54081.95,53.32,50.7,2024-01,5.388613537886175e-05,GCP
2024-01-05,sa-east-1,wh-2495,"mumbai, in",serverless,standard_d4s_v5,ssd,preemptible,70093.95,gb,0.7854,19.1,production,routeoptimizer,orderprocessing,2541,2598.46,55051.79,44536.9,2024-01,1.1204961341171385e-05,Azure
2024-01-05,us-east-1,wh-1456,"singapore, sg",compute,r6g.large,cold,preemptible,26131.29,vcpu-hours,0.0831,2.52,development,ordermgmt,backup,14238,63742.65,2171.51,2116.79,2024-01,3.180095586555428e-06,AWS
2024-01-05,ap-southeast-1,wh-1220,"singapore, sg",cdn,r6g.large,hdd,reserved,1654227.0,requests,0.9839,8.84,qa,ordermgmt,etl,13341,29127.3,1627593.95,1483714.64,2024-01,5.947793138426588e-07,AWS
2024-01-05,eu-west-1,wh-1278,"sao paulo, br",data transfer,m5.large,ssd,on-demand,1523042.0,requests,0.2051,16.82,production,financeops,forecasting,13932,12681.0,312375.91,259834.28,2024-01,1.3466470392805978e-07,GCP
2024-01-05,sa-east-1,wh-0706,"frankfurt, de",data transfer,standard_d4s_v5,block,spot,2216238.0,requests,0.2249,13.13,staging,inventoryplanner,orderprocessing,11169,7335.76,498431.93,432987.82,2024-01,1.01478270835533e-07,Azure
2024-01-05,ap-southeast-1,wh-0542,"rotterdam, nl",cdn,n2-standard-4,archive,savings plan,51644.44,gb-month,1.2999,24.58,uat,financeops,dataingest,11286,9269.66,67132.61,50631.41,2024-01,2.5170182889000247e-05,AWS
2024-01-05,eu-central-1,wh-1952,"dublin, ie",analytics,c5.xlarge,cold,savings plan,1272.08,hours,0.5393,42.35,staging,routeoptimizer,backup,9697,19937.32,686.03,395.5,2024-01,0.0004239513238161122,Azure
2024-01-05,us-east-1,wh-0941,"dublin, ie",storage,r6g.large,archive,reserved,159133.0,requests,0.2653,9.51,production,routeoptimizer,routeoptimization,14642,11557.25,42217.98,38203.05,2024-01,1.6671589173835721e-06,Azure
2024-01-05,us-west-2,wh-2243,"frankfurt, de",cdn,t3.medium,object,spot,1930802.0,requests,0.0619,3.11,development,routeoptimizer,backup,14062,54600.02,119516.64,115799.67,2024-01,3.20592168435707e-08,Azure
2024-01-05,sa-east-1,wh-0699,"chennai, in",analytics,c5.xlarge,object,preemptible,14488.85,vcpu-hours,0.5853,18.03,development,vendorportal,inventorysync,8001,28177.73,8480.32,6951.32,2024-01,4.039658081904361e-05,Oracle Cloud
2024-01-05,us-east-1,wh-0815,"sao paulo, br",serverless,n2-standard-4,archive,spot,41550.98,gb,1.4238,36.98,development,procurementhub,shipmenttracking,7117,52264.27,59160.29,37282.81,2024-01,3.4266339807147746e-05,Azure
2024-01-05,sa-east-1,wh-0181,"frankfurt, de",data transfer,r6g.large,cold,preemptible,27152.9,gb,0.2283,6.94,qa,inventoryplanner,dataingest,7573,36401.69,6199.01,5768.8,2024-01,8.40794169315248e-06,Azure
2024-01-05,eu-west-1,wh-1806,"rotterdam, nl",storage,m5.large,ssd,on-demand,111.25,hours,0.1886,20.43,uat,inventoryplanner,backup,5464,64791.1,20.98,16.69,2024-01,0.0016952808988764045,GCP
2024-01-05,us-east-1,wh-1614,"dublin, ie",networking,m5.large,cold,on-demand,36841.07,vcpu-hours,1.1661,2.28,qa,routeoptimizer,shipmenttracking,13947,32199.22,42960.37,41980.87,2024-01,3.1652175140407156e-05,Azure
2024-01-05,us-east-1,wh-0129,"phoenix, usa",cdn,n2-standard-4,ssd,savings plan,41403.76,gb-month,1.0699,8.52,uat,shipmenttracker,etl,4116,58691.73,44297.88,40523.7,2024-01,2.584064828894767e-05,AWS
2024-01-05,ap-southeast-1,wh-1333,"phoenix, usa",compute,t3.medium,block,spot,36830.13,gb-month,1.8627,17.83,development,warehousesync,etl,14663,53990.08,68603.48,56371.48,2024-01,5.057543918525403e-05,AWS
2024-01-05,ap-south-1,wh-0369,"rotterdam, nl",networking,m5.large,cold,on-demand,1374.2,hours,1.032,25.93,staging,procurementhub,inventorysync,1977,48702.43,1418.17,1050.44,2024-01,0.0007509823897540387,GCP
2024-01-05,ap-south-1,wh-1304,"rotterdam, nl",kubernetes,t3.medium,object,preemptible,6330.09,gb,0.7918,2.96,staging,inventoryplanner,orderprocessing,2960,36151.57,5012.17,4863.81,2024-01,0.00012508510937443227,AWS
2024-01-05,eu-central-1,wh-0291,"mumbai, in",analytics,c5.xlarge,archive,spot,636.03,hours,0.8522,44.06,production,ordermgmt,routeoptimization,10753,40160.46,542.02,303.21,2024-01,0.0013398739053189315,GCP
2024-01-05,sa-east-1,wh-1711,"mumbai, in",data transfer,t3.medium,cold,on-demand,5263.58,tb,0.1282,17.04,staging,financeops,orderprocessing,4925,38829.52,674.79,559.81,2024-01,2.4356046645059067e-05,AWS
2024-01-05,eu-central-1,wh-0675,"sao paulo, br",analytics,c5.xlarge,cold,on-demand,1059778.0,requests,0.9485,6.58,production,warehousesync,etl,9840,29014.91,1005199.43,939057.31,2024-01,8.949987638920604e-07,AWS
2024-01-05,eu-west-1,wh-0255,"singapore, sg",networking,f2s_v2,object,preemptible,36124.02,vcpu-hours,0.6034,37.36,staging,shipmenttracker,dataingest,2716,58746.36,21797.23,13653.78,2024-01,1.6703567321687897e-05,AWS
2024-01-05,eu-west-1,wh-1212,"dallas, usa",data transfer,c5.xlarge,archive,on-demand,6134.28,tb,0.1133,39.5,qa,ordermgmt,shipmenttracking,4313,42263.98,695.01,420.48,2024-01,1.8469975286423184e-05,AWS
2024-01-05,ap-south-1,wh-1534,"phoenix, usa",storage,m5.large,object,reserved,17232.76,gb-month,0.1712,38.51,qa,financeops,inventorysync,8656,9871.98,2950.25,1814.11,2024-01,9.93456648847892e-06,GCP
